#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.913692E-01   0.290176E+07   0.288602E+07  -0.845602E+01  -0.845605E+01   0.283017E+06   0.288749E+07   0.289928E+07   0.288749E+07  -0.689792E-01   0.152652E+07   0.152641E+07   0.392856E+00
   0.941200E-01   0.278177E+07   0.276559E+07  -0.763957E+01  -0.763959E+01   0.260775E+06   0.276788E+07   0.277923E+07   0.276788E+07  -0.661217E-01   0.146330E+07   0.146319E+07   0.398399E+00
   0.968708E-01   0.267094E+07   0.265457E+07  -0.692468E+01  -0.692470E+01   0.240864E+06   0.265743E+07   0.266837E+07   0.265743E+07  -0.634832E-01   0.140492E+07   0.140481E+07   0.394890E+00
   0.996215E-01   0.256986E+07   0.255354E+07  -0.629994E+01  -0.629996E+01   0.223119E+06   0.255673E+07   0.256730E+07   0.255673E+07  -0.610777E-01   0.135170E+07   0.135158E+07   0.382580E+00
   0.102372E+00   0.247879E+07   0.246280E+07  -0.575475E+01  -0.575476E+01   0.207360E+06   0.246606E+07   0.247628E+07   0.246606E+07  -0.589115E-01   0.130377E+07   0.130366E+07   0.362408E+00
   0.105123E+00   0.239761E+07   0.238219E+07  -0.527907E+01  -0.527909E+01   0.193397E+06   0.238527E+07   0.239519E+07   0.238527E+07  -0.569816E-01   0.126106E+07   0.126096E+07   0.335834E+00
   0.107874E+00   0.232577E+07   0.231114E+07  -0.486339E+01  -0.486340E+01   0.181025E+06   0.231382E+07   0.232348E+07   0.231382E+07  -0.552747E-01   0.122330E+07   0.122320E+07   0.304652E+00
   0.110625E+00   0.226233E+07   0.224864E+07  -0.449873E+01  -0.449874E+01   0.170032E+06   0.225076E+07   0.226018E+07   0.225076E+07  -0.537683E-01   0.118996E+07   0.118987E+07   0.270817E+00
   0.113375E+00   0.220604E+07   0.219340E+07  -0.417686E+01  -0.417688E+01   0.160206E+06   0.219484E+07   0.220405E+07   0.219484E+07  -0.524324E-01   0.116041E+07   0.116032E+07   0.236275E+00
   0.116126E+00   0.215546E+07   0.214392E+07  -0.389041E+01  -0.389042E+01   0.151347E+06   0.214462E+07   0.215365E+07   0.214462E+07  -0.512328E-01   0.113386E+07   0.113379E+07   0.202823E+00
   0.118877E+00   0.210910E+07   0.209864E+07  -0.363293E+01  -0.363294E+01   0.143272E+06   0.209860E+07   0.210745E+07   0.209860E+07  -0.501334E-01   0.110953E+07   0.110947E+07   0.172003E+00
