#           k/h    P           
   0.400312E+02   0.494037E+00
   0.408399E+02   0.471618E+00
   0.416649E+02   0.450190E+00
   0.425066E+02   0.429708E+00
   0.433653E+02   0.410134E+00
   0.442413E+02   0.391428E+00
   0.451350E+02   0.373553E+00
   0.460469E+02   0.356473E+00
   0.469770E+02   0.340155E+00
   0.479261E+02   0.324565E+00
   0.488942E+02   0.309672E+00
   0.498820E+02   0.295446E+00
   0.508896E+02   0.281858E+00
   0.519177E+02   0.268880E+00
   0.529665E+02   0.256485E+00
   0.540365E+02   0.244649E+00
   0.551281E+02   0.233346E+00
   0.562417E+02   0.222553E+00
   0.573779E+02   0.212249E+00
   0.585370E+02   0.202410E+00
   0.597195E+02   0.193018E+00
   0.609260E+02   0.184052E+00
   0.621568E+02   0.175493E+00
   0.634124E+02   0.167323E+00
   0.646934E+02   0.159526E+00
   0.660003E+02   0.152084E+00
   0.673336E+02   0.144982E+00
   0.686938E+02   0.138205E+00
   0.700816E+02   0.131737E+00
   0.714973E+02   0.125566E+00
   0.729416E+02   0.119678E+00
   0.744151E+02   0.114060E+00
   0.759184E+02   0.108701E+00
   0.774521E+02   0.103588E+00
   0.790167E+02   0.987109E-01
   0.806129E+02   0.940585E-01
   0.822415E+02   0.896208E-01
   0.839028E+02   0.853880E-01
   0.855978E+02   0.813508E-01
   0.873269E+02   0.775004E-01
   0.890911E+02   0.738282E-01
   0.908908E+02   0.703262E-01
   0.927270E+02   0.669866E-01
   0.946001E+02   0.638019E-01
   0.965112E+02   0.607652E-01
   0.984608E+02   0.578697E-01
   0.100450E+03   0.551088E-01
   0.102479E+03   0.524765E-01
   0.104549E+03   0.499666E-01
   0.106661E+03   0.475737E-01
   0.108816E+03   0.452923E-01
   0.111014E+03   0.431172E-01
   0.113257E+03   0.410436E-01
   0.115545E+03   0.390669E-01
   0.117879E+03   0.371825E-01
   0.120260E+03   0.353863E-01
   0.122690E+03   0.336741E-01
   0.125168E+03   0.320421E-01
   0.127697E+03   0.304867E-01
   0.130277E+03   0.290043E-01
   0.132908E+03   0.275916E-01
   0.135593E+03   0.262455E-01
   0.138332E+03   0.249627E-01
   0.141127E+03   0.237406E-01
   0.143978E+03   0.225761E-01
   0.146886E+03   0.214668E-01
   0.149854E+03   0.204101E-01
   0.152881E+03   0.194035E-01
   0.155969E+03   0.184447E-01
   0.159120E+03   0.175314E-01
   0.162334E+03   0.166617E-01
   0.165614E+03   0.158333E-01
   0.168960E+03   0.150445E-01
   0.172373E+03   0.142933E-01
   0.175855E+03   0.135780E-01
   0.179407E+03   0.128970E-01
   0.183032E+03   0.122486E-01
   0.186729E+03   0.116313E-01
   0.190501E+03   0.110438E-01
   0.194350E+03   0.104846E-01
   0.198276E+03   0.995243E-02
   0.202281E+03   0.944612E-02
   0.206368E+03   0.896445E-02
   0.210536E+03   0.850630E-02
   0.214790E+03   0.807057E-02
   0.219129E+03   0.765622E-02
   0.223555E+03   0.726227E-02
   0.228071E+03   0.688777E-02
   0.232679E+03   0.653179E-02
   0.237379E+03   0.619346E-02
   0.242175E+03   0.587192E-02
   0.247067E+03   0.556635E-02
   0.252058E+03   0.527598E-02
   0.257150E+03   0.500007E-02
   0.262345E+03   0.473792E-02
   0.267644E+03   0.448888E-02
   0.273051E+03   0.425229E-02
   0.278567E+03   0.402756E-02
   0.284195E+03   0.381411E-02
   0.289936E+03   0.361140E-02
   0.295793E+03   0.341890E-02
   0.301768E+03   0.323612E-02
   0.307864E+03   0.306259E-02
   0.314084E+03   0.289785E-02
   0.320428E+03   0.274149E-02
   0.326902E+03   0.259308E-02
   0.333505E+03   0.245225E-02
   0.340243E+03   0.231863E-02
   0.347116E+03   0.219186E-02
   0.354128E+03   0.207160E-02
   0.361282E+03   0.195755E-02
   0.368581E+03   0.184941E-02
   0.376026E+03   0.174691E-02
   0.383623E+03   0.164978E-02
   0.391372E+03   0.155777E-02
   0.399279E+03   0.147063E-02
   0.407344E+03   0.138813E-02
   0.415573E+03   0.131004E-02
   0.423968E+03   0.123615E-02
   0.432533E+03   0.116624E-02
   0.441271E+03   0.110013E-02
   0.450185E+03   0.103761E-02
   0.459279E+03   0.978500E-03
   0.468558E+03   0.922622E-03
   0.478023E+03   0.869804E-03
   0.487680E+03   0.819883E-03
   0.497532E+03   0.772708E-03
   0.507582E+03   0.728132E-03
   0.517837E+03   0.686018E-03
   0.528297E+03   0.646234E-03
   0.538970E+03   0.608657E-03
   0.549857E+03   0.573169E-03
   0.560966E+03   0.539661E-03
   0.572298E+03   0.508037E-03
   0.583859E+03   0.478201E-03
   0.595653E+03   0.450065E-03
   0.607687E+03   0.423541E-03
   0.619962E+03   0.398547E-03
   0.632487E+03   0.375001E-03
   0.645264E+03   0.352828E-03
   0.658299E+03   0.331953E-03
   0.671597E+03   0.312306E-03
   0.685165E+03   0.293821E-03
   0.699006E+03   0.276430E-03
   0.713127E+03   0.260069E-03
   0.727533E+03   0.244676E-03
   0.742230E+03   0.230193E-03
   0.757224E+03   0.216565E-03
   0.772521E+03   0.203742E-03
   0.788127E+03   0.191676E-03
   0.804048E+03   0.180321E-03
   0.820291E+03   0.169635E-03
   0.836862E+03   0.159579E-03
   0.853768E+03   0.150115E-03
   0.871015E+03   0.141209E-03
   0.888611E+03   0.132829E-03
   0.906563E+03   0.124943E-03
   0.924875E+03   0.117523E-03
   0.943559E+03   0.110542E-03
   0.962621E+03   0.103974E-03
   0.982068E+03   0.977953E-04
   0.100191E+04   0.919831E-04
   0.102215E+04   0.865159E-04
   0.104279E+04   0.813733E-04
